Title,Price,Number of Buyers,Number of Ratings,Rating,Image Link
Women's Relaxed Fit Printed Pyjamas Lounge Pants,378,M.R.P:,215,3.6 out of 5 stars,https://m.media-amazon.com/images/I/719gVa3AEFL._AC_UL320_.jpg
"Yoga Pants for Women, Track Pants for Women, Lower for Women, Pyjama for Women, Polyester Lower for Women, Women Lower, Women Comfort-Fit High Waist Flared Yoga Pants",571,50+ bought in past month,388,3.9 out of 5 stars,https://m.media-amazon.com/images/I/514WU7wgRXL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-01-04),499,200+ bought in past month,"6,908",3.6 out of 5 stars,https://m.media-amazon.com/images/I/61Ws1UdFKxL._AC_UL320_.jpg
Men Regular Fit Pants,"1,149",M.R.P:,69,3.6 out of 5 stars,https://m.media-amazon.com/images/I/51KTWmiyCIL._AC_UL320_.jpg
McHenry Men's Solid Formal Regular Fit Wrinkle Free PolyViscose Trousers,799,50+ bought in past month,"8,647",3.7 out of 5 stars,https://m.media-amazon.com/images/I/8107q7wtOvL._AC_UL320_.jpg
McHenry Men's Wrinkle Free Polyester Blended Stretchable Self Design Formal Regular Fit Trousers,799,M.R.P:,527,3.6 out of 5 stars,https://m.media-amazon.com/images/I/613V9+dUvhL._AC_UL320_.jpg
Boy's Regular Fit Track Pants(Pack of 5),489,50+ bought in past month,"12,988",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71rCnK1Wc5L._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-09-12),549,400+ bought in past month,"2,142",3.7 out of 5 stars,https://m.media-amazon.com/images/I/61tfGGTP2UL._AC_UL320_.jpg
Men's Soft Cotton Regular-fit Mid-Rise Casual Pants (SIGPANT),693,M.R.P:,118,3.7 out of 5 stars,https://m.media-amazon.com/images/I/71JEPbEHBnL._AC_UL320_.jpg
Men's Slim Fit Flexi Waist Casual Pants,"1,799",M.R.P:,411,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71nvyIapqYL._AC_UL320_.jpg
Men's Trouser II Men's Regular Casual Pants II Men's Regular Fit Casual Trouser (Trousers-120),284,M.R.P:,136,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61xs2GCa7hL._AC_UL320_.jpg
Men's Slim Fit Stretch Knit Pants - Smart Casual | Flexi Waist,"1,399",M.R.P:,104,4.3 out of 5 stars,https://m.media-amazon.com/images/I/611c0X4N5GL._AC_UL320_.jpg
Men Cargo Pants,649,M.R.P:,231,4.1 out of 5 stars,https://m.media-amazon.com/images/I/71ZeSkSNGFL._AC_UL320_.jpg
Men's Stretchable Casual Pants | Slant Pocket Chinos | Stylish Elastic Trousers (Slim Fit) Office or Party | Fashion Trouser with Expandable Waistband & Anti-Slip Gripper,749,M.R.P:,5,5.0 out of 5 stars,https://m.media-amazon.com/images/I/51TiGQ6BRQL._AC_UL320_.jpg
Men Regular Fit Casual Pants,899,50+ bought in past month,2,5.0 out of 5 stars,https://m.media-amazon.com/images/I/51BLJUy9E8L._AC_UL320_.jpg
Men's Fleece Jogger Regular Pants For Winterwear,599,50+ bought in past month,76,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71nRFuL2fVL._AC_UL320_.jpg
Men's Loose Baggy Jeans,599,200+ bought in past month,"1,086",3.7 out of 5 stars,https://m.media-amazon.com/images/I/71gHEC8+QJL._AC_UL320_.jpg
Men Cargo pant,549,M.R.P:,67,3.6 out of 5 stars,https://m.media-amazon.com/images/I/610k5rWyOsL._AC_UL320_.jpg
Men's Regular Fit Causal Trouser,399,50+ bought in past month,"2,108",3.9 out of 5 stars,https://m.media-amazon.com/images/I/51Zi8fZ37KL._AC_UL320_.jpg
Mens Cotton Rich Regular Fit Track Pants,449,M.R.P:,"6,668",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71WygQ83NVL._AC_UL320_.jpg
"Lycra Soild With Pocket Regular Fit Track Pant For Men Suitable Jogger Gym Wear, Dancing, Running, Yoga",309,100+ bought in past month,184,4.5 out of 5 stars,https://m.media-amazon.com/images/I/51lu08zmadL._AC_UL320_.jpg
Men's Regular Fit Polyester Trekking And Hiking Pants And Trousers,899,M.R.P:,307,3.6 out of 5 stars,https://m.media-amazon.com/images/I/71E0860E-mL._AC_UL320_.jpg
Men's Slim Work Utility Pants,899,M.R.P:,8,3.8 out of 5 stars,https://m.media-amazon.com/images/I/51ycAL7o01L._AC_UL320_.jpg
Unisex Baby Unisex Baby Baby Cotton Snug Soft Pants/Diaper Fit/Pyjama/Leggings(Pack of 7) - Multicolor,448,200+ bought in past month,127,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61HplYdIjdL._AC_UL320_.jpg
Women Casual Slanted Pocket Elastic Waist Tapered Pants,499,M.R.P:,22,3.8 out of 5 stars,https://m.media-amazon.com/images/I/61d8LFGtwBL._AC_UL320_.jpg
"Boldfit Track Pant for Men Slim Fit Joggers for Men for Running, Gym Sports Lower for Men & Boys Summer Track Pants for Men Multipurpose Mens Lower Activewear Trousers, Night Pants for Men -Black M",899,500+ bought in past month,908,4.2 out of 5 stars,https://m.media-amazon.com/images/I/519X02vsiPL._AC_UL320_.jpg
